title;author
extraordinaires aventures de Tom Scatterhorn (Les);Chancellor
L'histoire du monde;
L'eau des anges;Egémar
Quand on parle du loup;Harrison
étang aux libellules (L');Ibbotson
Avant les ténèbres;Cluzeau
Contes et récits vietnamiens;Minh Than
La boussole du Club des cinq;Blyton
Momo;Ende
Contes et récits vietnamiens;Minh Than
Je m'appelle pas Ben Laden !;Chambaz
Ogres, brigands et compagnie;Ungerer
Le cochon enchanté;
Gazette des communes,des départements,des régions (La);
Gauchos de Patagonie;Bourseiller
A minuit;Mörike
Les cinq mènent l'enquête;Voilier
Jeanne;Cassabois
Radio Nouba;Bonneval
Emile et les détectives;Kästner
On voyage;Helft
Nous les filles !;Delmege
Radio Nouba;Bonneval
Nous les garçons !;Crossick
On prend des médicaments;Helft
Profession, pirate !;Aubrun
Rufus le loup;Tarek
Rufus le loup;Tarek
La mer;Bélineau
Richard et William sauvent le monde;Rod
La ligne de front;Larcenet
J'apprends à dessiner la vie quotidienne;Legendre-Kvater
Collages de serviettes pour le jardin et la maison;Enderlen-Debuisson
Argile au tour;Tardio-Brise
Chansons devinettes;Marie-Céline
Petite histoire de la France au 20e siècle;Prost
Les chevêches aux yeux d'or;Haroux-Métayer
On rêve d'avoir un chat;Helft
Les grands explorateurs;Platt
Mythes et monstres;Buller
Les gladiateurs;Malam
Mirages;Robillard
ABC d'Albert Jacquard pour changer le monde (L');Jacquard
arc-en-ciel des familles (L');Douru
I like Europe;Gillet
fables de La Fontaine pour réfléchir (Les);Pelisse
Vieux metiers et pratiques oubliees en Bourgogne, Nivernais-Morvan, autrefois;Bertheau
Inrockuptibles (Les);
changelin (Le);Lindhom
Le Livre conquérant;
Art et Métiers du Livre;
Meurtre au champagne;Christie
ESPRIT;
Père Noël mes fesses !;Lenain
Archeologia;
Bonne nuit, Monsieur Renard !;Schärer
Chamailles;Schärer
Revue de la Bibliothèque Nationale de France;
Le trésor;Shulevitz
La neige fond sur ton coeur;Schmitzberger
Où est Pachydou ?;Dunbar
Poulette coquette;Dunbar
voyage (Le);Fontanel
Le vrai-faux portrait officiel du Père Noël;Misslin
Paddy MacPat;Donaldson
10 feuilles volantes;Möller
Et toi ?;Sanders
Méchants et truands;Platt
25 chasses au trésor;Rocher
25 chasses au trésor;Rocher
25 chasses au trésor;Rocher
Je crée avec 3 x rien !;Bull
Je crée avec 3 x rien !;Bull
Le rugby raconté aux enfants;Escot
Attention, bêtes féroces !;Wormell
Le rugby raconté aux enfants;Escot
Inuk est amoureux;Norac
petits points (Les);Claudet
Le jour où nous étions seuls au monde;Nilsson
grandes merveilles du monde (Les);Yu
Petite boîte jaune;Carter
Le jour où nous étions seuls au monde;Nilsson
Au lit !;Cumont
Guili guili;Poussier
Le plus beau;Poussier
Guitou;Melquiot
La fin des dinosaures;Bacchin
Marie Curie, une femme de science;Grard
En 2000 trop loin;Rascal
Marie Curie, une femme de science;Grard
Dis pourquoi le cochon a la queue en tire-bouchon ?;Mathivet
vaches de Noël (Les);Le Touzé
Les tartes et les cakes;Teyras
Une vie merveilleuse;Pigois
Je mesure tout;Trius
Un petit trou de rien du tout;Pin
Mon chien et moi;Yamada
La boîte au trésor;Escoffier
Ce que fait toujours le vrai Père Noël;Teyras
kilos en trop (Les);Sautereau
Il était une fois le Père Noël;Palluy
Noël !;Laval
Mon père Noël à moi !;Robberecht
Mes lunettes de rêve;Mets
cahier jaune (Le);Sautereau
Enfin seule;Causse
bête de la cave (La);Stine
Comme en hiver;Servant
Chloé et Félix font la fête;Roederer
Georges Méliès, le magicien du cinéma;Bianu
Toutes mes histoires préférées;Caputo
fièvre de la pleine lune (La);Stine
Sucré à salé;Witschger
Crash-test;Claro
peau du loup-garou (La);Stine
source (La);Garat
Cauchemars en série;Stine
Ah ! Ca ira;Lachaud
La confusion des valeurs;Guillebaud
maison des morts (La);Stine
variante chilienne (La);Raufast
Les nouvelles aventures de l'école des chats;Kim
fantôme du miroir (Le);Stine
Mémoires des failles;Annocque
Transgression;Khan
Mort de peur;Stine
Un chato en Espagne;Bard
film d'horreur (Le);Stine
Il était tout froid dans l'Est;Bourcy
légistes enquêtent (Les);Pfeiffer
colère de la momie (La);Stine
enchantements d'Ambremer (Les);Pevel
Le choeur des femmes;Winckler
Terrible internat;Stine
élixir d'oubli (L');Pevel
Catherine Kousmine;Aymeries
royaume immobile (Le);Pevel
Kidnappés dans l'espace;Stine
tournée d'adieux (La);Paris
Presque mort;Edwardson
vacances de l'angoisse (Les);Stine
Fils du Shéol;Benmalek
Dis oui, Ninon;Lethielleux
Jeux de monstres;Stine
Mémoires fauves;Guitton
In extremis;Morrell
Tête-Dure;Pittau
Les recettes du Petit Nicolas;Beaupré
Les arrangeurs;Tellier-Loniewski
erreur de Pascal (L');Seyvos
Des poupées et des anges;Hamdi
Je viens de toutes mes enfances;Salomé
Tableautins;Bruch
Voleuse de peluche;Seyvos
échoués (Les);Manoukian
Le chêne parlant;Sand
Effraction;Defossé
uns contre les autres (Les);Maubert
Cuisine avec Nelly & César;Godon
Tout pour plaire et toujours célibataire;Cadalen
Un amour impossible;Angot
Dans la cuisine d'Amandine;Carboneill
Sauver sa peau;Gardner
La cuisine des héros;Major
Vladimir Vladimirovitch;Chambaz
renversement des pôles (Le);Côte
La cuisine des héroïnes;Major
Brigitte Bardot;Choulant
Sylvestre et le caillou magique;Steig
Il était une ville;Reverdy
Le fol enfant;Vlady
Shrek !;Steig
exercice de la médecine (L');Seksik
Griffes de glace;Gilman
La petite marionnette;Vincent
portefeuille rouge (Le);Delaflotte Mehdevi
Le miroir de Cassandre;Werber
Ernest et Célestine au cirque;Vincent
septième fonction du langage (La);Binet
Maman, pourquoi tu manges pas ?;Dupont
Profession du père;Chalandon
Etre vétérinaire;Fritsch
La validation;Feil
Ernest et Célestine au musée;Vincent
Histoire de l'amour et de la haine;Dantzig
Neigeblanche et Roserouge;
Le régime mastication;Cocaul
Je me suis tue;Menegaux
Etre militaire dans l'armée de terre;Jakubowski
amour à trois (L');Poivre d'Arvor
jour, un chien (Un);Vincent
hiver des hommes (L');Duroy
pierre de l'adieu (La);Williams
anges meurent de nos blessures (Les);Khadra
Etre militaire dans l'armée de terre;Jakubowski
maison de l'ancêtre (La);Williams
Toute ressemblance avec le père;Courtès
Etre hôtesse de l'air ou steward;Barnier
Balade pour un père oublié;Teulé
Quand le diable sortit de la salle de bain;Divry
Etre hôtesse de l'air ou steward;Barnier
Au pays des vermeilles;Châtelet
Ce coeur changeant;Desarthe
Champignons des bois et des prés;Bustarret
carnaval des hyènes (Le);Mention
Champignons des bois et des prés;Bustarret
Déchets;Noualhat
Comme Ulysse;Charles
Une histoire de la violence;Muchembled
Petite vie;Varetz
chroniques d'Ouranos (Les);Bréger
Camille, mon envolée;Daull
Les métiers du sport et des loisirs;
Yesterday, les Beatles;Brown
loups à leur porte (Les);Fel
Où sont passés les princes charmants ?;Bonnet
Français (Le);Suaudeau
Un choix;Sparks
maladroite (La);Seurat
Michelle Obama, first lady;Mundy
Pour l'amour du capitaine;Hamon
Kafka aux fourneaux;Davis
Les ombres du ciel;Marchal
saison des Bijoux (La);Holder
Villa des femmes;Majdalani
Cruautés conjugales;Owens
Il faut tenter de vivre;Faye
Crimes sataniques;Goldstein
Nous serons des héros;Giraud
Eva;Liberati
C'est maintenant du passé;Rubinstein
Ce pays qui te ressemble;Nathan
Peur noire;Coben
Amour, colère et folie;Vieux-Chauvet
Chiens de sang;Giébel
Petit éloge de la nuit;Astier
Annie, te souviens-tu;Bardon
Bidoche;Nicolino
Emma et le cadeau de Noël;Morgenstern
Il y a quelque chose dans l'air;Hanna
L'école des lutins;Van Ruymbeke
La ballade de papa;Moreau
Princes et princesses;
clos des grognards (Le);Douriaux
L'âme du Kyudo;Hirata
temps d'orage (Les);Douriaux
Opération Mort;Mizuki
temps d'orage (Les);Douriaux
La moufle;Desnouveaux
clos des grognards (Le);Douriaux
Lucie et les lucioles;Moine
Arnaud Montebourg;Spitz
La renarde;Bourguignon
Emergences;Lièvre
Les fantômes, ça existe, ou pas ?;Van Genechten
Une autre manière;Vaillant
Annie du lac;Crowther
Une autre manière;Vaillant
Pinocchio;Collodi
voyage de petit nuage (Le);Robillard
La princesse des neiges;Galliot
Miroir-miroir;Lee
Belle de Moscou (La);
Tous des animaux !;Urberuaga
Carmen;Bizet
Contes et histoires de Pomme d'api;
Vampire !;Regan
Grandes répétitions (Les) : Olivier Messiaen, Karlheinz Stockhausen, Edgar Varese, Hermann Scherchen, Cecil Taylor;
Henri Vincenot;
Haute société;
Vinland saga;Yukimura
En Bresse autrefois...;Culas
Atys;Lully
funambule des coeurs (Le);Pigot
